node,deg
0,4
1,3
2,5
3,3
4,1
5,1
6,4
7,1
8,0
9,0
10,5
11,3
12,6
13,0
14,8
15,0
16,4
17,1
18,1
19,2
20,3
21,0
22,0
23,2
24,2
25,10
26,0
27,5
28,2
29,2
30,0
31,4
32,0
33,2
34,0
35,0
36,0
37,2
38,1
39,0
40,0
41,5
42,6
43,4
44,1
45,2
46,0
47,6
48,0
49,1
50,5
51,2
52,2
53,3
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,3
64,8
65,4
66,2
67,2
68,0
69,0
70,3
71,1
72,0
73,0
74,0
75,1
76,0
77,7
78,0
79,1
80,1
81,1
82,1
83,2
84,1
85,0
86,1
87,1
88,2
89,1
90,1
91,5
92,4
93,4
94,2
95,1
96,1
97,1
98,0
99,2
100,1
101,2
102,3
103,3
104,4
105,1
106,3
107,1
108,0
109,3
110,0
111,0
112,0
113,0
114,2
115,0
116,0
117,2
118,1
119,0
120,0
121,3
122,0
123,2
124,3
125,3
126,1
127,11
128,1
129,8
130,2
131,8
132,0
133,1
134,1
135,1
136,0
137,1
138,3
139,0
140,0
141,4
142,4
143,6
144,7
145,3
146,0
147,0
148,2
149,4
150,0
151,0
152,1
153,2
154,6
155,6
156,3
157,9
158,0
159,0
160,2
161,0
162,1
163,1
164,8
165,2
166,5
167,0
168,2
169,2
170,3
171,2
172,2
173,0
174,0
175,1
176,0
177,2
178,4
179,14
180,0
181,3
182,0
183,2
184,0
185,2
186,1
187,2
188,0
189,0
190,3
191,4
192,1
193,1
194,0
195,0
196,29
197,2
198,3
199,0
200,0
201,1
202,1
203,11
204,1
205,1
206,4
207,8
208,2
209,1
210,2
211,10
212,1
213,0
214,2
215,2
216,1
217,0
218,3
219,1
220,2
221,2
222,4
223,4
224,1
225,0
226,5
227,2
228,2
229,2
230,1
231,3
232,1
233,0
234,6
235,3
236,6
237,3
238,3
239,3
240,2
241,1
242,5
243,1
244,0
245,4
246,2
247,0
248,1
249,0
250,1
251,1
252,0
253,2
254,1
255,2
256,5
257,1
258,0
259,1
260,0
261,2
262,1
263,1
264,18
265,0
266,5
267,3
268,0
269,3
270,0
271,0
272,1
273,3
274,1
275,10
276,9
277,2
278,9
279,5
280,2
281,1
282,0
283,1
284,2
285,1
286,0
287,1
288,2
289,1
290,5
291,7
292,0
293,12
294,0
295,3
296,1
297,1
298,1
299,0
300,2
301,2
302,2
303,0
304,7
305,0
306,1
307,2
308,0
309,5
310,0
311,2
312,0
313,6
314,0
315,25
316,0
317,0
318,2
319,2
320,1
321,0
322,5
323,2
324,0
325,15
326,0
327,0
328,6
329,4
330,0
331,3
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,19
341,0
342,2
343,0
344,12
345,4
346,0
347,2
348,0
349,0
350,0
351,2
352,7
353,0
354,17
355,1
356,0
357,1
358,1
359,0
360,1
361,5
362,7
363,0
364,1
365,2
366,0
367,11
368,0
369,13
370,3
371,0
372,0
373,0
374,6
375,0
376,4
377,0
378,0
379,0
380,0
381,2
382,4
383,5
384,0
385,1
386,3
387,1
388,5
389,2
390,1
391,0
392,2
393,0
394,0
395,1
396,2
397,4
398,0
399,9
400,0
401,6
402,2
403,1
404,1
405,3
406,2
407,1
408,1
409,0
410,2
411,1
412,3
413,1
414,4
415,4
416,2
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,19
426,0
427,4
428,0
429,2
430,4
431,1
432,7
433,1
434,1
435,1
436,0
437,2
438,18
439,1
440,1
441,2
442,1
443,1
444,2
445,1
446,0
447,3
448,5
449,1
450,2
451,1
452,2
453,1
454,1
455,3
456,3
457,6
458,0
459,4
460,3
461,1
462,4
463,2
464,6
465,0
466,1
467,2
468,5
469,3
470,0
471,2
472,0
473,0
474,3
475,3
476,7
477,7
478,1
479,0
480,1
481,2
482,0
483,2
484,3
485,1
486,1
487,7
488,3
489,0
490,1
491,0
492,0
493,1
494,2
495,5
496,1
497,8
498,2
499,1
500,0
501,2
502,0
503,6
504,0
505,0
506,1
507,0
508,1
509,3
510,0
511,1
512,0
513,5
514,0
515,5
516,0
517,13
518,0
519,1
520,2
521,1
522,9
523,2
524,3
525,0
526,1
527,1
528,0
529,7
530,5
531,0
532,1
533,3
534,0
535,0
536,3
537,1
538,2
539,1
540,2
541,1
542,6
543,0
544,3
545,9
546,1
547,3
548,1
549,0
550,5
551,1
552,0
553,7
554,1
555,0
556,0
557,0
558,1
559,6
560,4
561,1
562,13
563,3
564,1
565,3
566,1
567,3
568,0
569,3
570,1
571,0
572,3
573,1
574,6
575,3
576,6
577,0
578,6
579,2
580,4
581,0
582,3
583,1
584,3
585,2
586,4
587,1
588,7
589,2
590,2
591,5
592,3
593,4
594,2
595,0
596,1
597,0
598,0
599,1
600,7
601,1
602,0
603,0
604,8
605,4
606,6
607,3
608,2
609,0
610,1
611,0
612,4
613,1
614,1
615,0
616,5
617,1
618,6
619,12
620,4
621,3
622,0
623,1
624,1
625,1
626,0
627,0
628,0
629,1
630,5
631,4
632,0
633,7
634,0
635,1
636,1
637,7
638,0
639,0
640,1
641,1
642,0
643,5
644,0
645,0
646,13
647,1
648,0
649,1
650,1
651,3
652,0
653,4
654,2
655,0
656,3
657,0
658,0
659,0
660,1
661,4
662,6
663,0
664,5
665,2
666,0
667,1
668,0
669,5
670,1
671,2
672,1
673,1
674,0
675,1
676,0
677,4
678,0
679,0
680,7
681,6
682,1
683,0
684,5
685,1
686,1
687,1
688,5
689,0
690,6
691,0
692,6
693,4
694,2
695,0
696,0
697,1
698,1
699,2
700,7
701,1
702,1
703,1
704,16
705,9
706,1
707,0
708,0
709,0
710,3
711,4
712,1
713,3
714,0
715,13
716,3
717,2
718,8
719,0
720,1
721,1
722,1
723,28
724,0
725,5
726,0
727,1
728,2
729,10
730,7
731,1
732,1
733,0
734,0
735,2
736,7
737,2
738,0
739,10
740,0
741,1
742,1
743,0
744,10
745,0
746,5
747,0
748,0
749,3
750,0
751,1
752,8
753,0
754,0
755,0
756,0
757,4
758,2
759,3
760,0
761,0
762,18
763,0
764,1
765,4
766,3
767,1
768,3
769,0
770,0
771,4
772,4
773,4
774,2
775,2
776,1
777,3
778,2
779,0
780,26
781,1
782,0
783,0
784,4
785,0
786,3
787,2
788,6
789,5
790,1
791,1
792,1
793,0
794,3
795,6
796,0
797,1
798,5
799,3
800,5
801,2
802,3
803,1
804,5
805,0
806,1
807,0
808,0
809,5
810,5
811,2
812,1
813,1
814,2
815,2
816,1
817,1
818,2
819,1
820,1
821,0
822,0
823,0
824,5
825,0
826,10
827,1
828,2
829,0
830,1
831,0
832,2
833,3
834,3
835,3
836,0
837,1
838,1
839,0
840,0
841,1
842,3
843,4
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,3
855,4
856,3
857,7
858,4
859,3
860,0
861,1
862,1
863,1
864,2
865,3
866,9
867,6
868,0
869,1
870,2
871,2
872,1
873,0
874,0
875,16
876,1
877,7
878,4
879,0
880,1
881,4
882,2
883,2
884,4
885,1
886,2
887,3
888,16
889,1
890,2
891,5
892,4
893,0
894,2
895,1
896,4
897,2
898,2
899,0
900,1
901,0
902,0
903,1
904,1
905,3
906,3
907,0
908,0
909,4
910,4
911,2
912,0
913,6
914,2
915,2
916,3
917,4
918,3
919,2
920,0
921,0
922,2
923,0
924,4
925,1
926,4
927,1
928,0
929,0
930,0
931,0
932,1
933,3
934,0
935,4
936,2
937,8
938,5
939,0
940,3
941,0
942,0
943,0
944,4
945,0
946,1
947,11
948,1
949,0
950,7
951,0
952,1
953,0
954,3
955,0
956,4
957,0
958,2
959,0
960,3
961,5
962,1
963,0
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,1
972,4
973,0
974,2
975,2
976,1
977,2
978,1
979,12
980,7
981,0
982,1
983,3
984,0
985,3
986,4
987,0
988,0
989,0
990,4
991,4
992,6
993,1
994,6
995,3
996,0
997,5
998,6
999,5
1000,3
1001,1
1002,0
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,3
1010,0
1011,0
1012,3
1013,1
1014,0
1015,1
1016,0
1017,4
1018,1
1019,5
1020,10
1021,6
1022,3
1023,2
1024,10
1025,3
1026,0
1027,0
1028,10
1029,12
1030,1
1031,2
1032,4
1033,0
1034,2
1035,1
1036,3
1037,4
1038,0
1039,0
1040,2
1041,0
1042,2
1043,2
1044,0
1045,2
1046,2
1047,5
1048,2
1049,0
1050,3
1051,1
1052,0
1053,0
1054,5
1055,3
1056,2
1057,0
1058,0
1059,0
1060,0
1061,2
1062,0
1063,10
1064,44
1065,4
1066,14
1067,9
1068,3
1069,2
1070,3
1071,1
1072,3
1073,0
1074,0
1075,1
1076,0
1077,5
1078,6
1079,2
1080,1
1081,1
1082,3
1083,0
1084,0
1085,0
1086,4
1087,2
1088,0
1089,2
1090,3
1091,0
1092,7
1093,2
1094,11
1095,2
1096,0
1097,0
1098,2
1099,0
1100,0
1101,1
1102,1
1103,2
1104,1
1105,0
1106,5
1107,0
1108,2
1109,0
1110,0
1111,12
1112,9
1113,0
1114,2
1115,1
1116,0
1117,0
1118,7
1119,2
1120,4
1121,0
1122,3
1123,0
1124,0
1125,4
1126,0
1127,1
1128,0
1129,2
1130,2
1131,7
1132,1
1133,1
1134,5
1135,0
1136,1
1137,2
1138,0
1139,1
1140,3
1141,2
1142,0
1143,0
1144,3
1145,4
1146,4
1147,0
1148,10
1149,0
1150,0
1151,2
1152,2
1153,0
1154,0
1155,2
1156,5
1157,0
1158,5
1159,2
1160,8
1161,1
1162,0
1163,1
1164,4
1165,0
1166,0
1167,4
1168,6
1169,2
1170,23
1171,0
1172,0
1173,3
1174,1
1175,2
1176,0
1177,4
1178,3
1179,0
1180,2
1181,0
1182,1
1183,4
1184,0
1185,1
1186,4
1187,0
1188,12
1189,0
1190,2
1191,0
1192,5
1193,2
1194,0
1195,2
1196,7
1197,0
1198,1
1199,0
1200,1
1201,4
1202,0
1203,0
1204,13
1205,1
1206,2
1207,1
1208,3
1209,7
1210,4
1211,17
1212,0
1213,0
1214,1
1215,1
1216,0
1217,2
1218,4
1219,5
1220,2
1221,0
1222,1
1223,3
1224,20
1225,1
1226,2
1227,3
1228,0
1229,1
1230,11
1231,1
1232,0
1233,1
1234,8
1235,0
1236,0
1237,3
1238,0
1239,11
1240,1
1241,2
1242,0
1243,4
1244,0
1245,9
1246,0
1247,7
1248,3
1249,0
1250,1
1251,4
1252,3
1253,4
1254,5
1255,3
1256,0
1257,0
1258,1
1259,0
1260,2
1261,1
1262,0
1263,4
1264,2
1265,0
1266,0
1267,1
1268,0
1269,3
1270,1
1271,2
1272,5
1273,4
1274,2
1275,0
1276,1
1277,3
1278,2
1279,2
1280,1
1281,9
1282,7
1283,4
1284,1
1285,5
1286,0
1287,2
1288,0
1289,0
1290,2
1291,6
1292,0
1293,6
1294,0
1295,3
1296,1
1297,0
1298,3
1299,7
1300,4
1301,0
1302,1
1303,1
1304,1
1305,2
1306,0
1307,2
1308,0
1309,7
1310,2
1311,1
1312,1
1313,4
1314,1
1315,10
1316,2
1317,3
1318,0
1319,4
1320,8
1321,1
1322,0
1323,0
1324,0
1325,1
1326,0
1327,1
1328,0
1329,0
1330,0
1331,0
1332,2
1333,5
1334,1
1335,11
1336,4
1337,1
1338,0
1339,5
1340,1
1341,7
1342,9
1343,0
1344,0
1345,2
1346,2
1347,24
1348,0
1349,20
1350,0
1351,7
1352,0
1353,1
1354,2
1355,10
1356,1
1357,12
1358,1
1359,0
1360,2
1361,12
1362,0
1363,1
1364,2
1365,8
1366,0
1367,0
1368,2
1369,0
1370,2
1371,0
1372,0
1373,0
1374,5
1375,2
1376,4
1377,1
1378,7
1379,0
1380,1
1381,0
1382,6
1383,2
1384,4
1385,1
1386,0
1387,0
1388,1
1389,1
1390,3
1391,2
1392,3
1393,0
1394,0
1395,5
1396,0
1397,0
1398,2
1399,1
1400,1
1401,5
1402,2
1403,0
1404,0
1405,1
1406,0
1407,4
1408,9
1409,4
1410,1
1411,1
1412,4
1413,0
1414,2
1415,2
1416,6
1417,1
1418,1
1419,6
1420,2
1421,0
1422,17
1423,1
1424,3
1425,3
1426,0
1427,4
1428,1
1429,5
1430,0
1431,2
1432,0
1433,1
1434,1
1435,12
1436,2
1437,0
1438,1
1439,0
1440,4
1441,1
1442,4
1443,3
1444,0
1445,0
1446,2
1447,0
1448,8
1449,0
1450,0
1451,4
1452,2
1453,33
1454,2
1455,3
1456,1
1457,5
1458,1
1459,1
1460,1
1461,1
1462,0
1463,7
1464,1
1465,0
1466,3
1467,2
1468,2
1469,1
1470,0
1471,1
1472,0
1473,0
1474,0
1475,5
1476,4
1477,1
1478,3
1479,0
1480,0
1481,2
1482,1
1483,4
1484,1
1485,0
1486,6
1487,0
1488,1
1489,11
1490,0
1491,3
1492,0
1493,0
1494,1
1495,0
1496,0
1497,5
1498,1
1499,3
1500,0
1501,1
1502,0
1503,1
1504,1
1505,0
1506,0
1507,10
1508,2
1509,0
1510,1
1511,0
1512,1
1513,0
1514,0
1515,3
1516,1
1517,3
1518,1
1519,2
1520,0
1521,1
1522,0
1523,0
1524,1
1525,1
1526,0
1527,1
1528,1
1529,0
1530,2
1531,0
1532,4
1533,0
1534,1
1535,0
1536,0
1537,1
1538,4
1539,0
1540,0
1541,0
1542,10
1543,1
1544,0
1545,0
1546,4
1547,2
1548,1
1549,1
1550,0
1551,10
1552,1
1553,0
1554,2
1555,2
1556,0
1557,4
1558,0
1559,0
1560,1
1561,2
1562,3
1563,2
1564,1
1565,1
1566,1
1567,0
1568,1
1569,0
1570,1
1571,6
1572,4
1573,0
1574,1
1575,7
1576,5
1577,2
1578,0
1579,2
1580,2
1581,3
1582,3
1583,1
1584,2
1585,0
1586,4
1587,2
1588,0
1589,2
1590,1
1591,5
1592,5
1593,2
1594,1
1595,1
1596,3
1597,1
1598,0
1599,10
1600,0
1601,0
1602,0
1603,1
1604,1
1605,3
1606,2
1607,5
1608,4
1609,20
1610,0
1611,5
1612,1
1613,0
1614,0
1615,0
1616,0
1617,1
1618,0
1619,4
1620,0
1621,2
1622,1
1623,0
1624,8
1625,6
1626,0
1627,6
1628,0
1629,1
1630,0
1631,1
1632,1
1633,2
1634,4
1635,2
1636,5
1637,1
1638,8
1639,5
1640,3
1641,1
1642,0
1643,0
1644,0
1645,9
1646,3
1647,1
1648,3
1649,3
1650,0
1651,9
1652,11
1653,1
1654,3
1655,0
1656,2
1657,4
1658,14
1659,4
1660,2
1661,1
1662,3
1663,1
1664,0
1665,2
1666,0
1667,1
1668,1
1669,1
1670,23
1671,0
1672,0
1673,0
1674,3
1675,4
1676,3
1677,1
1678,2
1679,1
1680,6
1681,8
1682,12
1683,1
1684,0
1685,9
1686,3
1687,18
1688,1
1689,3
1690,3
1691,2
1692,2
1693,2
1694,1
1695,2
1696,3
1697,0
1698,1
1699,1
1700,0
1701,0
1702,12
1703,2
1704,0
1705,0
1706,3
1707,2
1708,2
1709,8
1710,0
1711,0
1712,3
1713,11
1714,0
1715,2
1716,1
1717,1
1718,0
1719,2
1720,4
1721,2
1722,3
1723,1
1724,0
1725,5
1726,4
1727,2
1728,3
1729,0
1730,5
1731,0
1732,0
1733,8
1734,0
1735,2
1736,3
1737,9
1738,0
1739,2
1740,1
1741,3
1742,1
1743,0
1744,4
1745,1
1746,2
1747,1
1748,1
1749,1
1750,0
1751,15
1752,0
1753,2
1754,2
1755,0
1756,13
1757,0
1758,0
1759,1
1760,0
1761,12
1762,1
1763,0
1764,1
1765,0
1766,1
1767,0
1768,0
1769,1
1770,3
1771,1
1772,0
1773,2
1774,1
1775,1
1776,0
1777,4
1778,1
1779,2
1780,1
1781,1
1782,5
1783,5
1784,2
1785,2
1786,0
1787,6
1788,0
1789,1
1790,3
1791,4
1792,0
1793,3
1794,6
1795,1
1796,4
1797,1
1798,1
1799,1
1800,2
1801,0
1802,0
1803,0
1804,5
1805,5
1806,4
1807,2
1808,4
1809,1
1810,0
1811,0
1812,0
1813,0
1814,4
1815,1
1816,441
1817,7
1818,2
1819,1
1820,1
1821,0
1822,3
1823,4
1824,4
1825,3
1826,0
1827,1
1828,4
1829,0
1830,3
1831,0
1832,0
1833,1
1834,3
1835,4
1836,0
1837,1
1838,1
1839,0
1840,2
1841,0
1842,2
1843,0
1844,1
1845,3
1846,2
1847,6
1848,9
1849,2
1850,2
1851,1
1852,0
1853,0
1854,0
1855,2
1856,1
1857,0
1858,6
1859,7
1860,6
1861,2
1862,3
1863,2
1864,0
1865,4
1866,0
1867,0
1868,2
1869,0
1870,9
1871,3
1872,1
1873,0
1874,0
1875,5
1876,2
1877,2
1878,0
1879,1
1880,0
1881,0
1882,2
1883,0
1884,3
1885,8
1886,3
1887,3
1888,6
1889,1
1890,0
1891,0
1892,0
1893,1
1894,2
1895,0
1896,9
1897,2
1898,2
1899,0
1900,11
1901,2
1902,0
1903,8
1904,1
1905,2
1906,4
1907,4
1908,0
1909,1
1910,2
1911,1
1912,2
1913,0
1914,0
1915,1
1916,11
1917,0
1918,0
1919,2
1920,2
1921,4
1922,8
1923,2
1924,0
1925,0
1926,1
1927,1
1928,5
1929,4
1930,5
1931,6
1932,0
1933,26
1934,0
1935,4
1936,8
1937,2
1938,4
1939,2
1940,4
1941,3
1942,1
1943,2
1944,1
1945,0
1946,0
1947,2
1948,0
1949,0
1950,2
1951,3
1952,0
1953,3
1954,5
1955,1
1956,2
1957,0
1958,0
1959,3
1960,1
1961,3
1962,3
1963,2
1964,1
1965,0
1966,2
1967,0
1968,3
1969,6
1970,3
1971,1
1972,1
1973,4
1974,0
1975,0
1976,2
1977,0
1978,10
1979,6
1980,3
1981,3
1982,3
1983,2
1984,1
1985,1
1986,0
1987,4
1988,4
1989,2
1990,3
1991,0
1992,0
1993,2
1994,0
1995,0
1996,2
1997,0
1998,1
1999,0
2000,3
2001,0
2002,4
2003,2
2004,0
2005,1
2006,0
2007,7
2008,1
2009,2
2010,1
2011,0
2012,1
2013,1
2014,5
2015,1
2016,21
2017,1
2018,0
2019,6
2020,0
2021,0
2022,3
2023,5
2024,4
2025,2
2026,3
2027,0
2028,2
2029,3
2030,0
2031,1
2032,2
2033,1
2034,2
2035,0
2036,9
2037,8
2038,5
2039,0
2040,0
2041,2
2042,3
2043,1
2044,2
2045,2
2046,1
2047,1
2048,3
2049,2
2050,1
2051,1
2052,1
2053,8
2054,5
2055,0
2056,0
2057,0
2058,5
2059,8
2060,4
2061,0
2062,0
2063,6
2064,0
2065,6
2066,2
2067,23
2068,1
2069,8
2070,0
2071,1
2072,3
2073,4
2074,1
2075,2
2076,0
2077,0
2078,0
2079,9
2080,1
2081,4
2082,1
2083,3
2084,3
2085,4
2086,2
2087,1
2088,0
2089,4
2090,0
2091,1
2092,1
2093,2
2094,1
2095,1
2096,1
2097,1
2098,0
2099,0
2100,0
2101,2
2102,1
2103,0
2104,4
2105,1
2106,4
2107,1
2108,0
2109,8
2110,4
2111,5
2112,1
2113,2
2114,2
2115,0
2116,0
2117,2
2118,0
2119,2
2120,2
2121,3
2122,3
2123,5
2124,2
2125,1
2126,0
2127,2
2128,1
2129,5
2130,0
2131,0
2132,34
2133,1
2134,3
2135,7
2136,4
2137,0
2138,2
2139,0
2140,1
2141,5
2142,8
2143,0
2144,5
2145,0
2146,1
2147,0
2148,0
2149,3
2150,0
2151,0
2152,1
2153,0
2154,1
2155,0
2156,2
2157,0
2158,8
2159,1
2160,2
2161,2
2162,0
2163,1
2164,3
2165,2
2166,6
2167,4
2168,3
2169,0
2170,0
2171,1
2172,1
2173,5
2174,2
2175,0
2176,1
2177,1
2178,0
2179,2
2180,0
2181,3
2182,4
2183,3
2184,2
2185,2
2186,0
2187,2
2188,2
2189,2
2190,0
2191,2
2192,0
2193,0
2194,0
2195,0
2196,7
2197,5
2198,6
2199,3
2200,1
2201,3
2202,1
2203,1
2204,1
2205,1
2206,5
2207,12
2208,2
2209,1
2210,0
2211,3
2212,1
2213,4
2214,7
2215,0
2216,4
2217,2
2218,5
2219,0
2220,0
2221,0
2222,2
2223,1
2224,7
2225,1
2226,0
2227,2
2228,0
2229,4
2230,0
2231,4
2232,0
2233,2
2234,0
2235,1
2236,2
2237,1
2238,1
2239,0
2240,2
2241,2
2242,5
2243,0
2244,1
2245,1
2246,5
2247,0
2248,0
2249,9
2250,1
2251,2
2252,6
2253,0
2254,1
2255,0
2256,0
2257,5
2258,1
2259,2
2260,5
2261,6
2262,5
2263,1
2264,1
2265,8
2266,0
2267,6
2268,0
2269,0
2270,4
2271,0
2272,0
2273,2
2274,0
2275,0
2276,0
2277,1
2278,5
2279,4
2280,3
2281,0
2282,2
2283,0
2284,0
2285,1
2286,0
2287,0
2288,0
2289,4
2290,2
2291,2
2292,1
2293,2
2294,2
2295,3
2296,5
2297,2
2298,1
2299,0
2300,4
2301,0
2302,1
2303,0
2304,1
2305,0
2306,2
2307,4
2308,0
2309,11
2310,0
2311,15
2312,1
2313,1
2314,1
2315,2
2316,2
2317,7
2318,18
2319,0
2320,0
2321,0
2322,0
2323,3
2324,3
