node,deg
0,13
1,89
2,26
4519,34
23073,29
33043,35
33971,60
75503,21
101215,5
120044,23
123880,8
124002,11
206567,3
274042,7
5915,5
7741,6
7852,58
7979,51
8085,41
8086,44
9335,18
10971,19
12238,36
13090,62
13419,31
13811,24
14662,52
15004,57
15432,19
16259,11
16408,67
16803,49
17411,84
18035,1
21502,38
22970,42
27021,78
27466,35
28995,13
29998,6
31096,30
33126,202
33762,8
35156,38
36918,71
37774,16
40548,7
44446,46
44725,43
46588,25
47489,53
49063,13
49144,47
56260,7
58164,11
58212,8
63386,4
66243,3
66305,63
66668,50
67191,39
73133,7
74815,11
75213,46
77551,25
78424,92
81806,5
83059,4
84042,9
84805,24
85126,23
86291,10
90680,34
92739,9
92740,20
93377,56
95874,23
97590,49
97591,11
97758,40
103133,14
110696,1
113230,53
115324,3
122675,4
159465,11
162643,10
164373,5
166307,60
173255,7
173256,7
179100,17
193261,2
194924,30
198462,9
223322,8
229958,2
248344,7
253221,7
255383,3
268421,6
6786,58
10077,13
23595,85
37678,75
44724,17
54787,12
65297,25
75502,2
79494,13
84203,6
93250,1
108350,9
108790,11
127771,1
139006,3
157374,3
189316,4
3,12
10816,39
15821,62
18373,3
21946,22
22531,57
22955,17
34140,79
56565,17
58183,23
59273,21
71407,52
117331,10
4,1
11,3
10,6
53,1
61,33
368,14
369,2
3514,2
3641,2
35,2
105,4
21,2
22378,16
90421,6
27,2
138,12
264,1
29,3
348,2
364,2
3890,4
39,1
274,2
426,30
2527,1
25670,124
33969,39
45116,93
48574,21
55007,76
57571,222
63075,49
72070,87
76853,13
80747,14
88279,22
93348,13
101353,61
114328,13
116767,52
126396,25
171891,44
181660,18
197599,15
209324,11
216914,13
219689,7
220214,25
237232,14
243226,3
253789,41
266105,10
303921,8
304290,4
69,11
29902,1
77105,9
127052,19
129843,7
129844,7
129845,7
129846,7
129847,7
140711,2
152729,9
173384,10
70,6
11934,1
12467,13
17356,34
27035,1
27502,2
46490,2
72,2
98,1
58963,4
74,3
94,4
102,2
206,1
75,7
2335,2
19952,4
19953,8
22485,3
22486,2
25232,6
31020,2
83,27
2835,1
2851,2
3019,4
3086,18
8761,45
10823,21
11302,1
25458,37
25850,22
40922,47
46212,81
57500,87
57917,26
60078,42
84050,33
90211,5
93474,6
94711,10
100446,17
107759,10
109031,30
109620,19
124987,11
158877,2
166063,5
237087,6
237088,5
2288,6
2503,1
96,12
1783,13
2122,2
2123,2
6172,1
6294,15
7656,28
11188,1
19970,16
55032,16
71596,9
81838,1
99,7
6734,24
19158,56
31299,31
31301,38
32740,6
37349,29
64469,2
437,5
10155,23
10244,21
108,2
1732,7
2841,38
118,2
3637,20
4810,3
120,2
1332,3
3566,30
122,9
304,7
1306,18
1307,2
2675,21
2825,5
5650,27
15214,11
44079,2
84498,1
123,1
294,7
134,5
265,4
473,9
474,4
703,3
1182,2
135,1
672,4
136,18
280,1
1958,2
2815,41
3768,35
3881,60
4403,1
5911,37
5965,1
7171,14
7857,2
13275,19
15442,93
23670,3
23671,52
24676,4
44735,21
