#nodes
10000
node,node
0,1220
0,7600
2,4123
2,6649
7,5782
7,6386
16,3142
18,9306
19,5912
24,7252
25,239
25,831
25,1667
25,1841
25,2603
25,2623
25,2891
25,3533
25,5031
25,5444
25,7396
25,7976
25,8408
25,8551
25,8575
28,986
28,2751
30,9790
48,8188
49,566
49,3605
49,5031
52,8430
53,1666
53,5532
53,9793
58,6674
59,2869
62,9429
64,9481
66,7566
66,8309
67,2565
70,3602
70,3780
70,5911
70,8916
79,7731
80,4137
84,596
84,1042
84,1666
84,4316
84,4882
84,7614
84,7665
84,8430
87,964
88,1650
89,1011
89,9895
91,5311
95,5729
96,3786
97,6381
97,7457
97,8281
103,9723
111,2232
113,9216
115,557
116,612
116,1667
118,4103
120,4274
123,6458
124,1934
131,831
131,5031
136,5195
146,6166
147,6972
153,280
153,4514
153,4597
153,6726
153,6846
153,7457
153,7697
153,8681
156,9857
162,6946
166,2278
166,9275
180,2221
180,8681
181,3114
182,4104
182,4514
182,5787
182,6271
182,6993
183,9039
185,1102
185,1666
185,3059
185,5031
185,5122
185,5661
185,6452
185,6519
185,7574
185,8253
185,9374
185,9781
185,9859
186,8859
187,7166
189,9623
200,4521
200,5230
200,7097
204,9859
211,1358
212,460
213,2232
213,4895
214,8632
215,5899
220,7665
220,9368
223,7184
225,1785
225,2242
225,5316
225,5903
225,6199
225,7913
225,8739
225,9133
225,9637
225,9945
226,1658
229,6490
232,8601
233,4698
236,6541
236,8901
239,1667
239,2891
241,1859
246,244
251,6443
251,9480
263,9219
264,1508
266,2877
267,5948
267,7177
267,8069
268,3399
270,905
270,960
270,1367
270,1414
270,2232
270,2622
270,3692
270,4458
270,5311
270,5775
270,6270
270,6472
270,7130
270,7898
270,8529
270,8656
272,297
278,182
278,607
278,792
278,1404
278,4104
278,4597
278,5077
278,6192
278,6271
278,6993
278,7606
278,9678
278,9913
281,520
281,5499
283,2076
283,3454
283,3960
283,4514
283,5031
283,8217
286,2413
287,6329
292,44
292,646
292,2413
292,2891
292,4006
292,4098
292,4124
292,4773
292,5924
292,5938
292,7099
292,8287
292,8408
292,8786
292,9822
293,3150
293,4451
296,1612
296,1841
296,6245
296,8408
296,9186
297,6173
297,7624
297,8124
299,1353
304,1901
308,3963
310,4804
310,5462
313,7011
316,1270
317,5814
330,6129
330,6422
330,9374
344,1731
357,1667
357,5031
359,2407
362,5104
364,1612
365,2624
366,4006
366,4281
366,4984
366,5938
366,9012
367,2412
367,3404
367,7777
368,4193
373,964
373,2395
373,4080
373,8512
380,630
380,1803
381,4841
384,310
386,5539
395,3563
396,5466
411,8224
419,2848
419,5801
420,7438
422,401
424,1847
424,3888
424,8108
426,8478
428,653
429,5577
435,1047
435,4941
435,7842
435,8131
435,8681
436,6458
437,8131
439,7913
443,7139
443,9092
444,298
444,4295
444,5905
444,9984
454,9211
454,9476
455,2742
455,3616
456,301
456,444
456,460
456,934
456,2861
456,2877
456,3488
456,4878
456,5607
456,5928
456,5936
456,7479
456,7841
456,8189
456,8522
456,9012
456,9218
456,9332
456,9953
456,9997
457,2145
460,166
460,785
460,1358
460,2191
460,2586
460,4308
460,5795
460,6946
