#nodes
100000
node,node
0,22775
0,38435
0,53269
0,63044
1,49009
1,83191
2,37651
2,41731
2,53492
2,56169
6,23146
7,37096
10,1419
10,34331
10,69385
10,90262
11,61528
11,71008
11,92009
12,11056
14,24079
14,29741
14,45102
14,52578
14,53055
14,91660
16,4915
16,19160
16,23855
16,77446
19,1640
19,93132
23,5743
25,5181
25,29317
25,61406
25,80669
28,27482
31,6971
31,23620
31,57665
31,62368
33,71516
37,20195
37,27674
41,81025
44,92990
47,16382
47,25699
47,32716
47,60151
47,69273
47,74680
49,58751
50,6758
50,23280
50,55234
50,76122
50,83619
51,24905
51,81190
52,24656
53,55722
53,70218
54,21612
58,78226
64,11850
64,34539
64,57306
64,79996
64,96040
65,30031
65,54659
65,86755
66,58570
66,92868
67,47111
67,97432
70,2240
70,27146
70,74462
75,36968
77,3476
77,12948
77,75244
77,91493
83,2117
86,90868
88,60967
89,8578
91,14378
91,37451
91,75074
91,81256
91,94874
93,6307
93,28954
101,20692
101,48983
103,29031
104,47448
106,15269
106,74711
118,50738
121,15659
121,54221
124,36478
124,54479
124,74986
127,15059
127,21815
127,22015
127,30910
127,64986
127,66130
127,66225
127,77068
129,3543
129,8239
129,28873
129,77473
130,20051
131,62472
133,9859
135,62293
138,15336
142,30953
142,37610
143,37651
143,90409
144,9956
144,28905
144,31889
144,75268
144,76310
144,94843
145,34984
145,63744
149,71817
149,77937
149,80527
149,80667
154,10840
154,33728
154,55600
154,98814
155,46009
155,87304
156,8415
156,23029
156,92770
157,20627
157,32928
157,59373
157,84168
162,61299
164,12720
164,57297
164,90590
165,25862
165,93441
166,81159
166,91346
169,29596
171,70534
172,59460
172,74240
177,18684
177,55731
179,7283
179,16370
179,28147
179,32950
179,42745
179,69691
179,79621
179,83698
179,98194
185,84844
186,80807
187,57438
190,52542
190,54872
191,15144
191,47370
191,73775
191,80029
193,85819
196,3266
196,8747
196,12531
196,12675
196,16184
196,17873
196,19045
196,20137
196,35319
196,38437
196,38695
196,40740
